date,close
2025-07-01,22553.72
2025-07-02,22577.74
2025-07-03,22712.97
2025-07-04,22547.5
2025-07-07,22428.72
2025-07-08,22362.27
2025-07-09,22527.01
2025-07-10,22693.25
2025-07-11,22751.03
2025-07-14,22614.97
2025-07-15,22835.94
2025-07-16,23042.9
2025-07-17,23113.28
2025-07-18,23383.13
2025-07-21,23340.56
2025-07-22,22987.92
2025-07-23,23318.67
2025-07-24,23373.73
2025-07-25,23364.38
2025-07-28,23412.98
2025-07-29,23201.52
2025-07-30,23461.72
2025-07-31,23542.52
2025-08-01,23434.38
2025-08-04,23378.94
2025-08-05,23660.59
2025-08-06,23447.36
2025-08-07,24003.77
2025-08-08,24021.26
2025-08-11,24135.5
2025-08-12,24158.36
2025-08-13,24370.02
2025-08-14,24238.1
2025-08-15,24334.48
2025-08-18,24482.52
2025-08-19,24353.5
2025-08-20,23625.44
2025-08-21,23962.13
2025-08-22,23764.47
2025-08-25,24277.38
2025-08-26,24305.1
2025-08-27,24519.9
2025-08-28,24236.45
2025-08-29,24233.1
2025-09-01,24071.73
2025-09-02,24016.78
2025-09-03,24100.3
2025-09-04,24179.85
2025-09-05,24494.58
2025-09-08,24547.38
2025-09-09,24855.18
2025-09-10,25192.59
2025-09-11,25215.71
2025-09-12,25474.64
2025-09-15,25357.16
2025-09-16,25629.64
2025-09-17,25438.25
2025-09-18,25769.36
2025-09-19,25578.37
2025-09-22,25880.6
2025-09-23,26247.37
2025-09-24,26196.73
2025-09-25,26023.85
2025-09-26,25580.32
2025-09-30,25820.54
2025-10-01,25982.91
2025-10-02,26378.39
2025-10-03,26761.06
2025-10-07,27211.95
2025-10-08,27063.68
2025-10-09,27301.92
2025-10-13,26923.42
2025-10-14,26793.15
2025-10-15,27275.71
2025-10-16,27647.87
2025-10-17,27302.37
2025-10-20,27688.63
2025-10-21,27752.41
2025-10-22,27648.91
2025-10-23,27532.26
2025-10-27,27993.63
2025-10-28,27949.11
2025-10-29,28294.74
2025-10-30,28287.53
2025-10-31,28233.35
2025-11-03,28334.59
2025-11-04,28116.56
2025-11-05,27717.06
2025-11-06,27899.45
2025-11-07,27651.41
2025-11-10,27869.51
2025-11-11,27784.95
2025-11-12,27947.09
2025-11-13,27903.56
2025-11-14,27397.5
2025-11-17,27447.31
2025-11-18,26756.12
2025-11-19,26580.12
2025-11-20,27426.36
2025-11-21,26434.94
2025-11-24,26504.24
2025-11-25,26912.17
2025-11-26,27409.54
2025-11-27,27554.53
2025-11-28,27626.48
2025-12-01,27342.53
2025-12-02,27564.27
2025-12-03,27793.04
2025-12-04,27795.71
2025-12-05,27980.89
2025-12-08,28303.78
2025-12-09,28182.6
2025-12-10,28400.73
2025-12-11,28024.75
2025-12-12,28198.02
2025-12-15,27866.94
2025-12-16,27536.66
2025-12-17,27525.17
2025-12-18,27468.53
2025-12-19,27696.35
2025-12-22,28149.64
2025-12-23,28310.47
